id,category,title,confidence,description,stable_evidence,not_to_break,execution_candidate_note
AINV-IPAC-020,Information flows,Handoff flow between environments,high,"Moving between chats, Projects, plans or agents requires current status, decisions, open loops, one next action, not-doing and needed files.",Handoff Protocol and Mentor Layer established continuity invariant.,Do not start new environments without handoff/boot recovery.,
AINV-IPAC-021,Governance principles,No canon update without review,high,"Canon must not be changed directly from raw reaction, speculation or temporary execution signals.",Repeated across Feedback as Evidence and review protocols.,Never let raw feedback become immediate canon.,
AINV-IPAC-022,Governance principles,Maturity separation,high,Concepts must be classified by maturity and not prematurely promoted into architecture.,Phase 2 maturity classification and Phase 3 hypothesis statuses.,Do not treat powerful metaphors as validated architecture.,
AINV-IPAC-023,Governance principles,Architecture / execution separation,high,"Stable architecture must be separated from execution candidates such as channels, launch plans, dashboards and specific tooling choices.",User explicitly corrected Phase 4 to architecture invariants only.,Do not smuggle execution planning into architecture artifacts.,Execution candidates can be tracked separately.
AINV-IPAC-024,Governance principles,Evidence-based hypothesis promotion,high,Hypotheses move toward validated status only when evidence is captured and routed through review and trace.,Phase 3 rule: no status upgrade without evidence.,Do not promote unresolved/speculative ideas based on attractiveness alone.,
AINV-IPAC-025,Knowledge lifecycle invariants,Knowledge lifecycle invariant,high,Stable lifecycle: impulse → formulation → structuring → artifact → canon/trace → projection/use → feedback/evidence → review → decision → updated canon/trace.,"Lifecycle appears in diagrams, Need/Concept artifacts and living knowledge discussions.","Do not remove feedback, review or trace from the lifecycle.",
AINV-IPAC-026,Knowledge lifecycle invariants,Portability invariant,high,"Knowledge must be portable across contexts without losing status, origin, structure or next route.","ZIP packages, boot protocols and portation work.",Do not create artifacts understandable only inside one chat context.,
AINV-IPAC-027,Knowledge lifecycle invariants,Rebuild invariant,medium-high,Living knowledge must be able to rebuild itself based on reviewed evidence and trace while preserving continuity.,"Controlled rebuild, learning patches, canon updates and trace repeatedly appear.",Do not rebuild without trace or continuity.,
AINV-IPAC-028,Human-AI role separation,Human owns intent and strategic judgement,high,"Human owns living intention, authorship, strategic choice, acceptance/rejection and judgement of whether the result is 'то / не то'.",Consistent across intersubjectivity and AI Mentor Layer.,Do not make AI owner of intention.,
AINV-IPAC-029,Human-AI role separation,"AI owns methodological support, not authorship",high,"AI provides methods, structure, frameworks, comparison, risk detection, formatting, status discipline and operational packaging.",AI Mentor defined as methodological guide and continuity layer.,Do not present AI guidance as final authority or project authorship.,
AINV-IPAC-030,What must not be broken,Do not break living meaning into dead documentation,high,"Formalization must preserve living core, context, trace and capacity for further development.",Central tension: formalize without killing living meaning.,Do not over-bureaucratize into lifeless templates.,
AINV-IPAC-031,What must not be broken,Do not break bootability,high,"Any project state must remain recoverable in a new context through instructions, sources, status and handoff.",Portation phase and Mentor Layer make bootability central.,Do not leave important state only in implicit conversation memory.,
AINV-IPAC-032,What must not be broken,Do not break architecture/execution distinction,high,Temporary implementation choices must not be mistaken for stable architecture.,User’s correction to Phase 4 directly requires this distinction.,Do not include MVP/channel/publication mechanics in architectural core.,Track them as execution candidates.
AINV-IPAC-033,What is explicitly NOT architecture,Specific publication channels are not architecture,high,"Named publication channels and channel sequences are execution candidates, not architecture invariants. The invariant is projection/use/feedback.",User explicitly instructed not to discuss publication channels unless invariant.,Do not make any specific channel part of core architecture.,Channels remain execution candidates.
AINV-IPAC-034,What is explicitly NOT architecture,"Dashboards, launch runbooks and MVP plans are not architecture",high,"Dashboards, launch runbooks and MVP/MVI plans support execution, but are not core architecture unless abstracted into governance/feedback-flow invariants.","User explicitly requested no execution plan, MVP or publication mechanics.",Do not include operational dashboards or launch sequences as architecture.,They remain execution/governance candidates.
AINV-IPAC-035,What is explicitly NOT architecture,"Specific numbered protocols are implementation forms, not the invariant itself",medium-high,"Numbered protocols and document IDs are useful forms, but the invariant is the role: review, decision, trace, boot, handoff, recovery.",Many numbered artifacts were created; user asks to extract stable invariants rather than execution artifacts.,Do not confuse artifact numbering with architecture.,"Specific IDs are execution/canon references, not architecture by themselves."
