lesson_id,category,lesson_title,lesson_statement,evidence_from_old_work,risk_if_ignored,prevention_rule,related_phase,severity,confidence,import_status
LL-IPAC-011,level-mixing,Communication channels can distort architectural thinking,Specific channels can become too central and start shaping architecture instead of remaining projections or execution candidates.,"LinkedIn, Telegram, Pinterest, YouTube and site anchor became detailed asset packs before later being classified as execution candidates.",Architecture becomes channel-dependent and brittle.,"Architecture may include Projection/Use/Feedback, but not specific channel names as core entities.",Phase 4 / Phase 7,high,high,import_to_project_rules
LL-IPAC-012,level-mixing,Hypotheses can be confused with decisions,A hypothesis expressed in strong language can be mistaken for an accepted decision unless status and evidence are explicit.,"Phase 3 required normalization of validated, partially supported, unresolved and speculative hypotheses.",Untested assumptions enter canon or architecture.,"Every hypothesis must carry status, evidence, assumptions, risks, validation and falsification criteria.",Phase 3,critical,high,import_to_system_discipline
LL-IPAC-013,level-mixing,Need must remain separate from concept and solution,The project needs Phase 1 Need as an anchor so later concepts and execution candidates do not rewrite the underlying need.,"Need Artifact clarified that IPaC is needed to make living meaning manageable, portable and executable knowledge.",The solution architecture begins to justify itself instead of answering the need.,"When a new artifact is proposed, explicitly map it back to Phase 1 Need.",Phase 1 / Phase 2,high,high,import_to_project_rules
LL-IPAC-014,validation,Validated does not mean field validated,Validated in the old artifacts means internally/artifact-supported unless explicit field evidence exists.,The user explicitly required: validated means only internal/artifact-supported validation; validated does not mean field validated.,The new Project may overstate maturity and treat untested ideas as externally proven.,"Every validation label must specify internal-dialogue, artifact-supported, field-tested or externally-validated.",Phase 3 / Phase 8,critical,high,import_to_project_rules
LL-IPAC-015,validation,Repeated agreement is not proof,An idea repeated and accepted in chat is not externally validated; it only has internal coherence or artifact support.,"Meaning Bottleneck, MVI, five-channel contour and AI Mentor Layer became strong internally but still require external or portation validation.",The project mistakes resonance within the chat for real-world evidence.,Require evidence source type for every claim of validation.,Phase 3,critical,high,import_to_system_discipline
LL-IPAC-016,validation,Beautiful formulation is not confirmation,A strong phrase can guide work but cannot confirm its own truth.,"Phrases like 'Не расширять поле. Пройти поле' and 'AI made output cheap' were powerful, but their external usefulness remains untested.",Aesthetic force becomes substitute for evidence.,Treat beautiful formulas as candidate anchors until field or operational evidence confirms them.,Phase 2 / Phase 3,high,high,import_to_project_rules
LL-IPAC-017,validation,Artifact-supported validation is not field validation,An idea can be stabilized across artifacts without being tested in environment.,"Architecture Invariants are stable internally, but execution and external resonance remain untested.",The system may overclaim readiness for external audiences.,Add validation_type field to hypothesis and concept registers.,Phase 3 / Phase 4,high,high,import_to_project_rules
LL-IPAC-018,architecture,Stable architecture is the living knowledge circuit,"The durable architecture is the relation among Human Subject, AI Mentor, Knowledge Clump, artifacts, canon, trace, projection/use, feedback, review and rebuild.",Phase 4 Architecture Invariants fixed this as the architectural core.,"Architecture is confused with channels, launch mechanics or document IDs.","Architecture artifacts must name stable entities, relationships, flows and governance principles.",Phase 4,critical,high,import_to_system_discipline
LL-IPAC-019,architecture,Specific numbered protocols are not architecture by themselves,Document numbers and protocol IDs are implementation forms; the invariant is the function they perform.,"Phase 4 noted that specific numbered protocols are implementation forms, not invariants.",The system becomes dependent on accidental numbering and historical sequence.,Extract role/function behind each numbered artifact before treating it as architecture.,Phase 4,medium,medium-high,import_to_project_rules
LL-IPAC-020,architecture,Architecture can become delay,"After rapid conceptual growth, architecture production can postpone field contact if not bounded.",Execution Pivot identified the risk that architecture could delay action; Phase 8 keeps it as a process lesson.,The new Project may continue producing meta-artifacts without evidence.,"After architecture invariants are accepted, further architecture requires explicit gap justification.",Execution Pivot / Phase 8,high,high,import_to_project_rules
LL-IPAC-021,knowledge-management,Chat is not durable memory,"The chat can develop knowledge, but accepted knowledge must leave the chat into artifacts, registers and status files.",Multiple ZIP packages were needed because long chat could not remain the only memory.,Hidden context debt accumulates and new Project cannot recover state.,"Accepted decisions, definitions, hypotheses and invariants must be externalized.",all phases,critical,high,import_to_system_discipline
LL-IPAC-022,knowledge-management,Not every useful text deserves a new document,Some material should be parked as recovery note or execution signal rather than promoted to canonical document.,Previous Phase 4 Execution Artifact is valuable but reclassified as parked execution signal.,Document proliferation and conflicting artifacts.,"Before creating a document, choose: new artifact, update existing artifact, register entry, recovery note, parked source or reject as noise.",Phase 4 / Phase 8,high,high,import_to_project_rules
LL-IPAC-023,ai-collaboration,"AI is strong at synthesis, packaging and schema generation","The AI performed well when asked to structure, package, map, create registers and produce portable artifacts.","Generated Need, Concept, Hypothesis, Invariants, Mentor and Mermaid artifacts.",New Project may underuse AI's structuring strengths.,"Use AI for artifactization, normalization, register creation, schema-as-code and process review.",all phases,medium,high,import_to_project_rules
LL-IPAC-024,ai-collaboration,AI can become a confident yes-man,"The AI can enthusiastically accept and amplify ideas before checking level, status or evidence.",Some execution-heavy structures were produced before the user clarified the architecture-invariant layer.,False certainty and premature canonization.,"AI must ask or infer layer boundaries before large synthesis; if unclear, mark uncertainty.",Phase 4 / Phase 8,critical,high,import_to_project_rules
LL-IPAC-025,ai-collaboration,AI should stop when levels mix,"If Need, Concept, Architecture, Hypothesis and Execution appear in one request without separation, AI should stop and split the task.",The Phase 8 prompt explicitly demands level-mixing lessons and stop rules.,The model produces polished but layer-confused artifacts.,"When three or more levels are active, pause and ask whether to split or produce a recovery map.",Phase 8,critical,high,import_to_project_rules
LL-IPAC-026,execution,Execution signals exist but must not become architecture,"LinkedIn, Telegram, Pinterest, YouTube, site anchor, dashboard and runbook are execution candidates or validation mechanisms, not architecture core.",Phase 4 Architecture Invariants explicitly separated them from architecture.,The architecture becomes tactical and channel-driven.,Label all specific channels and runbooks as execution candidates unless abstracted to projection/use/feedback invariants.,Phase 4 / Phase 7,high,high,import_to_project_rules
LL-IPAC-027,execution,"Feedback route is partly architecture, partly mechanism","The invariant is that feedback must be preserved, reviewed and traced; specific packages and numbered protocols are mechanisms.",Phase 4 invariant AINV-IPAC-015 separates Feedback → Review → Canon from specific numbered protocols.,"Mechanisms become rigid architecture, or architecture loses governance discipline.",Keep the invariant abstract and track concrete mechanisms as validation mechanism candidates.,Phase 4 / Phase 7,high,high,import_to_system_discipline
LL-IPAC-028,anti-pattern,Endless Chat as Memory,Using a long chat as the primary memory creates hidden context debt and recovery risk.,Portation required external packages because the chat had become too large and layered.,New Project starts with incomplete or distorted memory.,"Move accepted knowledge into artifacts and registers; keep chat as workspace, not source-of-truth.",all phases,critical,high,import_to_system_discipline
LL-IPAC-029,anti-pattern,Beautiful Synthesis as Validation,A beautiful synthesis can feel like proof even when it has not been validated.,Strong summaries and formulas were repeatedly produced before field evidence existed.,The project overclaims certainty.,Every synthesis must state validation type and uncertainty.,Phase 3 / Phase 8,critical,high,import_to_project_rules
LL-IPAC-030,anti-pattern,Premature Canonization,"Concepts, metaphors or execution choices can be promoted to canon before evidence or normalization.","Phase 3 and Phase 4 were needed to separate speculative concepts, hypotheses and invariants.",Canon becomes polluted with untested ideas.,"Canon update requires explicit evidence, review and status decision.",Phase 3 / Phase 4,critical,high,import_to_project_rules
LL-IPAC-031,governance,Mandatory artifact boundary check,"Before producing an artifact, the model must check the requested layer, prohibited content and allowed source scope.",The Phase 4 correction and Phase 8 prompt both impose strict boundaries.,Large artifacts are created at the wrong level.,"Artifact generation requires: phase, artifact_type, scope, exclusions, validation type.",Phase 4 / Phase 8,critical,high,import_to_project_rules
LL-IPAC-032,governance,Parked source category is necessary,Valuable but wrong-layer material needs a parked-source state rather than deletion or canonization.,Previous Phase 4 Execution Artifact became parked execution signal.,The project either loses valuable work or pollutes architecture with it.,Use parked-source for valuable material that is not currently canon or architecture.,Phase 4 / Phase 8,high,high,import_to_project_rules
