question_id,question_text,category,related_phase,related_concept,related_hypothesis,related_research_gap,why_it_matters,risk_if_ignored,next_action_type,priority,confidence,import_status
OQ-IPAC-012,Does the term Knowledge Clump make sense to external reviewers?,terminology,Phase 2; Phase 5,Knowledge Clump,HYP-IPAC-003,RG-IPAC-012,The term is central internally but may not be portable externally.,Terminology fog; weak communication; concept rejection due to naming.,needs_expert_review,high,high,import_to_terminology_review
OQ-IPAC-013,How to distinguish research support from validation in daily project work?,validation,Phase 5; Phase 8,Evidence; Field Evidence; Review,HYP-IPAC-025,,Phase 5 explicitly states research support is not validation.,False maturity and premature canonization.,needs_methodology_review,critical,high,import_to_open_questions
OQ-IPAC-014,What field evidence would be sufficient to upgrade core hypotheses?,validation,Phase 3R; Phase 5,Field Evidence; Evidence,multiple,RG-IPAC-011; RG-IPAC-012,The project needs clear validation thresholds before public or architectural claims.,Hypothesis status drift and overclaiming.,needs_hypothesis_test,critical,high,import_to_hypothesis_review
OQ-IPAC-015,Can field feedback be turned into controlled rebuild rather than chaos?,validation,Phase 4; Phase 5,Feedback; Review; Controlled Rebuild,HYP-IPAC-004; HYP-IPAC-013,,The living knowledge cycle depends on feedback improving the system without destabilizing canon.,"Feedback panic, opportunistic rewriting, canon instability.",needs_prototype_mvp,high,high,import_to_open_questions
OQ-IPAC-016,Which parts of the former execution work are parked signals and which are reusable mechanisms?,execution,Phase 4; Phase 8,Projection; Feedback; Review,HYP-IPAC-014; HYP-IPAC-015,,Earlier execution artifacts are valuable but not architecture.,Execution candidates re-enter architecture core.,park_for_later,medium,high,park_for_later
OQ-IPAC-017,When should Codex / execution agents be connected without damaging concept boundaries?,tool_infrastructure,Phase 3R; Phase 5,AI Mentor; Knowledge Artifact,HYP-IPAC-023,,Codex may support implementation but can also cause execution pull.,Technical implementation starts before conceptual and validation discipline is stable.,park_for_later,medium,medium-high,park_for_later
OQ-IPAC-018,"Does IPaC require RAG / Knowledge Graph / Neo4j, or are these only possible tools?",tool_infrastructure,Phase 5,Trace; Source-of-truth; Context Pack,HYP-IPAC-024,RG-IPAC-007,Avoid tool capture and premature technical architecture.,Technical stack becomes concept substitute.,needs_research,medium,medium,import_to_research_backlog
OQ-IPAC-019,Which terms are working terms and which are public terms?,terminology,Phase 2; Phase 6,Living Meaning; Knowledge Clump; Canon; Resonance; Intersubjectivity,HYP-IPAC-017,RG-IPAC-012,Internal terms may be powerful but externally unclear.,"Terminology fog, rejection, or pseudo-philosophical impression.",needs_terminology_clarification,high,high,import_to_terminology_review
OQ-IPAC-020,What should be parked until after Wave 2 closure?,governance,Phase 8,Source-of-truth; Context Pack,,,Not all important questions should be solved now.,Research-as-delay and execution pull.,park_for_later,high,high,import_to_open_questions
OQ-IPAC-021,Can IPaC be explained without excessive simplification?,communication_field,Phase 2; Phase 5,Projection; Living Meaning; Knowledge Clump,HYP-IPAC-017; HYP-IPAC-032,RG-IPAC-011; RG-IPAC-012,"Public understanding may require simplification, but simplification may distort the concept.",Either opacity or flattening into marketing/content workflow.,needs_field_evidence,high,medium-high,import_to_open_questions
OQ-IPAC-022,What is the next correct phase after Phase 6?,governance,Phase 6,Context Pack; Source-of-truth,,,The prompt specifies Wave 2 Closure / Knowledge Recovery Pack Assembly.,The project may keep producing isolated phase artifacts instead of packaging recovery state.,needs_architecture_review,critical,high,import_to_open_questions
