concept_id,concept_name,short_definition,role_in_ipac,maturity_status,related_need,related_architecture_invariant,related_hypothesis,risks,import_status
CON-IPAC-011,Human Subject / Человеческий субъект,"The human source of living intention, authorship, judgement, direction and final acceptance.",Maintains subjecthood and prevents AI from owning the intent.,stable,Need to preserve living human meaning and authorship.,Human owns intent and strategic judgement.,Human subjecthood must remain non-transferable.,AI over-synthesis; loss of authorship,import_to_concept_core
CON-IPAC-012,AI Mentor / Methodological Guide,"AI role as methodological guide, framework holder and continuity assistant, without owning the human intent.","Supports structure, artifactization, boot, handoff, review discipline and process guardrails.",stable,Need to transfer not only files but also the mode of collaboration.,"AI Mentor / Methodological Guide; AI owns methodological support, not authorship.",AI Mentor Layer can preserve intersubjective collaboration.,yes-man drift; AI becoming guru; over-synthesis,import_to_concept_core
CON-IPAC-013,Projection / Проекция,"An expression of the Knowledge Clump into a specific form, audience, context or use.",Allows knowledge to be expressed without equating any expression with the core.,stable,Need to make knowledge usable and communicable without losing core.,Projection is a core entity; specific channels are not architecture.,Specific publication channels are not architecture.,channel-driven thinking; execution pull,import_to_glossary
CON-IPAC-014,Context Pack / Контекстный пакет,A portable bundle of artifacts and orientation layers that allows another Project or agent to recover context.,Supports bootability and transfer to new environments.,emerging,Need to port living knowledge without old context debt.,Artifact to bootable context flow; portability invariant.,Bootability is essential for continuity.,document proliferation; stale package,import_to_glossary
CON-IPAC-015,Source-of-truth / Источник истины,The controlled location or artifact layer treated as authoritative for a specific knowledge state.,Prevents endless chat from becoming unstable memory.,emerging,Need to reduce hidden context debt.,Chat is not durable memory; canon and trace connection.,Chat is not durable memory / artifacts must be bootable.,false source-of-truth; fragmentation,import_to_glossary
CON-IPAC-016,Field Evidence / Полевое свидетельство,"Evidence obtained from real external use, response, reviewer input or environment contact.",Separates artifact-supported validation from field-tested validation.,emerging,Need to make knowledge verifiable beyond internal coherence.,Feedback / Evidence and validation discipline.,validated ≠ field validated; feedback as evidence.,false validation; overclaiming maturity,import_to_glossary
CON-IPAC-017,Intersubjectivity / Интерсубъектность,A mode of collaboration where human living intention and AI methodological support form a shared thinking field.,Explains the productive human-AI collaboration mode without transferring subjecthood to AI.,stable,Need to preserve living human meaning while using AI as amplifier and structurer.,Human Subject ↔ AI Mentor relationship.,Intersubjectivity improves human-AI creative engineering.,AI over-synthesis; mystical framing if not bounded,import_to_concept_core
CON-IPAC-018,Meaning Bottleneck / Узкое место смысла,"The claim that AI cheapens output, while meaning, context and decision quality remain the bottleneck.",Key conflict formula and conceptual entry point.,strong_needs_validation,Need to make living meaning manageable and verifiable.,"IPaC boundary around living knowledge, not output generation.",Output became cheap; meaning became the bottleneck.,false maturity; beautiful formulation as validation,import_to_concept_core
CON-IPAC-019,Protein-silicon resonance / Белково-кремниевый резонанс,Metaphor for productive resonance between human living impulse and AI formal/structural capacity.,Internal metaphor for collaboration dynamics.,speculative,Need to name the human-AI collaboration experience.,"Human-AI relationship, but only metaphorically.",Protein-silicon resonance describes the collaboration loop.,metaphor overload; pseudo-scientific reading,park_for_later
CON-IPAC-020,Semantic superconductivity / Смысловая сверхпроводимость,Metaphor for reduced meaning loss and friction in a well-designed meaning system.,Speculative heuristic from the physics-of-meaning line.,speculative,Need to reduce context loss and friction.,"Possible relation to rebuild/trace, but not established as invariant.",Semantic superconductivity is possible in well-designed meaning systems.,metaphor overload; premature canonization,park_for_later
CON-IPAC-021,Publication Channels / Каналы публикации,Specific external media or communication routes that may carry projections.,Possible execution/projection carriers only.,parked,Need for external contact may require projection carriers later.,Specific publication channels are not architecture.,Five-channel contour can operate as one resonance system.,channel-driven thinking; execution pull,park_for_later
CON-IPAC-022,MVP / MVI Mechanics,Operational mechanics for first field interaction or validation.,Execution signal parked outside concept core.,parked,"Need for field validation exists, but not inside Phase 2 concept artifact.",MVP/MVI execution plans are not architecture.,MVI is the correct first external validation form.,execution pull; architecture creep,park_for_later
